ID,ID2,NAME,NoCollared,Pack,DATE_,Season,EASTING,NORTHING,HOW_OBTAIN,CONFIDENCE,PackID,elevati
84,1030,44,1,Bow valley,2/1/02,winter,585000,5675600,2,1,2,1403
85,1031,44,1,Bow valley,2/2/02,winter,578500,5679250,2,1,2,1463
86,1032,44,1,Bow valley,2/1/02,winter,585470,5674750,2,1,2,1402
87,1033,44,1,Bow valley,2/3/02,winter,585600,5675300,2,1,2,1425
88,1034,44,1,Bow valley,2/11/02,winter,573400,5681500,2,1,2,1440
89,1035,44,1,Bow valley,2/12/02,winter,585300,5674100,2,1,2,1402
90,1036,44,1,Bow valley,2/13/02,winter,582800,5676400,2,1,2,1452
91,1037,44,1,Bow valley,2/13/02,winter,588900,5671350,2,1,2,1402
92,1038,44,1,Bow valley,2/14/02,winter,578500,5679800,2,2,2,1481
93,1039,44,1,Bow valley,2/14/02,winter,567900,5685700,2,1,2,1492
94,1040,44,1,Bow valley,1/30/02,winter,585400,5674700,2,1,2,1402
95,1041,44,1,Bow valley,2/12/02,winter,585100,5674200,2,1,2,1402
96,1042,44,1,Bow valley,2/15/02,winter,558900,5696500,2,1,2,1585
97,1043,44,1,Bow valley,2/15/02,winter,556600,5696600,2,1,2,1584
98,1044,44,1,Bow valley,2/27/02,winter,577950,5679100,2,1,2,1433
99,1045,44,1,Bow valley,2/26/02,winter,577700,5678400,2,1,2,1433
100,1046,44,1,Bow valley,2/28/02,winter,583500,5677050,2,1,2,1488
101,1047,44,1,Bow valley,3/2/02,winter,583900,5677500,2,1,2,1730
102,1048,44,1,Bow valley,3/4/02,winter,584900,5676000,2,1,2,1412
103,1049,44,1,Bow valley,3/5/02,winter,583170,5677480,2,1,2,1547
104,1050,44,1,Bow valley,3/14/02,winter,584600,5675600,2,1,2,1402
105,1051,44,1,Bow valley,3/13/02,winter,584600,5675600,2,1,2,1402
106,1052,44,1,Bow valley,3/13/02,winter,584600,5675600,2,1,2,1402
107,1053,44,1,Bow valley,3/12/02,winter,585477,5674985,2,1,2,1407
108,1054,44,1,Bow valley,3/15/02,winter,584900,5675800,2,1,2,1409
109,1055,44,1,Bow valley,3/9/02,winter,584650,5675650,2,1,2,1403
110,1056,44,1,Bow valley,3/12/02,winter,582150,5677300,2,2,2,1533
111,1057,44,1,Bow valley,3/9/02,winter,586800,5673150,2,1,2,1402
112,1058,44,1,Bow valley,3/10/02,winter,576700,5679200,2,1,2,1433
113,1059,44,1,Bow valley,1/31/02,winter,585150,5674880,2,1,2,1402
114,1060,44,1,Bow valley,2/23/02,winter,580500,5677500,2,1,2,1431
115,1061,44,1,Bow valley,3/8/02,winter,588800,5670500,2,1,2,1402
116,1062,44,1,Bow valley,3/15/02,winter,584750,5675790,2,2,2,1410
117,1063,44,1,Bow valley,3/16/02,winter,586500,5674950,2,1,2,1469
118,1064,44,1,Bow valley,3/3/02,winter,585300,5675550,2,1,2,1414
119,1065,44,1,Bow valley,3/13/02,winter,587200,5674100,2,1,2,1438
120,1066,44,1,Bow valley,3/13/02,winter,584820,5675950,2,2,2,1414
121,1067,44,1,Bow valley,3/1/02,winter,583700,5676950,2,1,2,1479
122,1068,44,1,Bow valley,3/11/02,winter,578690,5678810,2,1,2,1433
123,1069,44,1,Bow valley,3/14/02,winter,584800,5675800,2,2,2,1411
124,1070,44,1,Bow valley,3/3/02,winter,584800,5675950,2,1,2,1415
125,1071,44,1,Bow valley,3/3/02,winter,584800,5676250,2,1,2,1428
126,1072,44,1,Bow valley,3/25/02,winter,584750,5675900,2,1,2,1416
127,1073,44,1,Bow valley,3/26/02,winter,584800,5675900,2,1,2,1414
128,1074,44,1,Bow valley,3/11/02,winter,578730,5678800,2,1,2,1433
129,1075,44,1,Bow valley,3/26/02,winter,584600,5676600,2,2,2,1524
130,1076,44,1,Bow valley,3/27/02,winter,578900,5679350,2,1,2,1442
131,1077,44,1,Bow valley,3/19/02,winter,584150,5675300,2,1,2,1402
132,1078,44,1,Bow valley,3/31/02,winter,585000,5675950,2,1,2,1412
133,1079,44,1,Bow valley,3/30/02,winter,588700,5672095,2,1,2,1434
134,1080,44,1,Bow valley,3/2/02,winter,586770,5673750,2,1,2,1402
135,1081,44,1,Bow valley,3/3/02,winter,588200,5672500,2,1,2,1448
136,1082,44,1,Bow valley,4/2/02,winter,587100,5673800,2,1,2,1403
137,1083,44,1,Bow valley,4/2/02,winter,588025,5672480,2,1,2,1437
138,1084,44,1,Bow valley,4/3/02,winter,588700,5671750,2,1,2,1406
139,1085,44,1,Bow valley,4/4/02,winter,586300,5673900,2,2,2,1402
140,1086,44,1,Bow valley,4/5/02,winter,586500,5674000,2,1,2,1402
141,1087,44,1,Bow valley,4/13/02,winter,581900,5677000,2,1,2,1433
142,1088,44,1,Bow valley,12/22/01,winter,588137,5670704,1,1,2,1402
143,1089,44,1,Bow valley,4/1/02,winter,588200,5672200,2,1,2,1417
144,1090,44,1,Bow valley,4/12/02,winter,575368,5680385,2,1,2,1451
145,1091,44,1,Bow valley,4/12/02,winter,576487,5679665,2,1,2,1437
146,1092,44,1,Bow valley,4/11/02,winter,563750,5691050,2,1,2,1496
147,1093,44,1,Bow valley,4/11/02,winter,568850,5684950,2,1,2,1495
148,1094,44,1,Bow valley,4/8/02,winter,578800,5679520,2,1,2,1462
149,1095,44,1,Bow valley,4/10/02,winter,567000,5687000,2,2,2,1513
150,1096,44,1,Bow valley,4/7/02,winter,587700,5673400,2,1,2,1446
151,1097,44,1,Bow valley,4/7/02,winter,587350,5674250,2,1,2,1489
152,1098,44,1,Bow valley,4/6/02,winter,585200,5676500,2,1,2,1468
153,1099,44,1,Bow valley,4/6/02,winter,587700,5675550,2,2,2,1869
154,1100,44,1,Bow valley,4/6/02,winter,585650,5675250,2,1,2,1423
155,1101,44,1,Bow valley,4/4/02,winter,586550,5673930,2,1,2,1402
156,1102,44,1,Bow valley,4/14/02,winter,579300,5679400,2,1,2,1433
157,1248,63,1,Bow valley,10/26/02,winter,590880,5668450,2,2,2,1402
158,1249,63,1,Bow valley,10/25/02,winter,590075,5670600,2,2,2,1565
159,1251,63,1,Bow valley,10/17/02,winter,581900,5677200,2,1,2,1438
160,1252,63,1,Bow valley,10/18/02,winter,581430,5676400,2,1,2,1420
161,1253,63,1,Bow valley,10/16/02,winter,592500,5665500,2,2,2,1666
162,1254,63,1,Bow valley,10/23/02,winter,581900,5678000,2,1,2,1614
163,1255,63,1,Bow valley,10/25/02,winter,588850,5670300,2,1,2,1402
