"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","pack","used"
5,3,6,1,5,6,1900.01333333309,399.320459165617,"Red Deer",0
4,4,4,4,3,4,2016.55288888897,50.4350808390555,"Red Deer",0
4,4,4,3,3,4,1887.13999999963,864.524352608189,"Red Deer",0
3,3,4,6,5,4,2344.33288888945,1340.77709369351,"Red Deer",0
1,1,3,4,6,3,2081.94044444554,528.407911087183,"Red Deer",0
3,3,3,5,6,3,2175.94577777733,3829.14375847072,"Red Deer",0
3,3,3,1,1,3,2204.94,3393.54557796918,"Red Deer",0
,,,,,,2014.9537777777,106.256748926056,"Red Deer",0
1,1,1,1,1,1,2749.54000000075,1512.58655953314,"Red Deer",0
4,5,4,3,1,4,1617.28711111134,723.937679578935,"Red Deer",0
,,,,,,1795.34666666648,695.621077945289,"Red Deer",0
,,,,,,2198.46622222254,1284.50456543813,"Red Deer",0
4,5,4,3,3,4,1962.86622222205,1374.18787081819,"Red Deer",0
3,3,5,5,5,4,2033.53377777788,242.894139696501,"Red Deer",0
1,1,1,1,1,1,2888.06044444486,1850.21599851114,"Red Deer",0
1,1,1,1,4,1,2655.43911111066,3706.44024174773,"Red Deer",0
4,4,4,4,3,4,2038.29288888867,802.448023819903,"Red Deer",0
1,1,1,1,4,1,2557.06088888931,1218.68677093477,"Red Deer",0
,,,,,,2485.61511111159,1489.46074155505,"Red Deer",0
4,5,5,3,3,5,1730,1754.65056834199,"Red Deer",0
,,,,,,2212.99377777739,320.154828932984,"Red Deer",0
,,,,,,2289.80755555546,185.720852496418,"Red Deer",0
1,1,1,1,4,1,2393.32577777712,2629.06815509522,"Red Deer",0
1,1,1,1,4,1,2410.61288888965,2593.97538559609,"Red Deer",0
4,5,4,1,4,4,2001.18000000025,2733.48374327178,"Red Deer",0
1,1,1,1,1,1,2686.22666666623,6045.57360164629,"Red Deer",0
4,5,4,3,3,4,1737.14622222224,170.315966641996,"Red Deer",0
,,,,,,1990.24666666679,422.719034107284,"Red Deer",0
,,,,,,2195.62755555521,316.198197671237,"Red Deer",0
1,1,1,1,4,1,2523.99244444382,1300.44013494194,"Red Deer",0
1,1,3,5,4,3,2337.60666666636,4898.52869070827,"Red Deer",0
4,4,4,4,3,4,1850.64711111133,579.684033358004,"Red Deer",0
,,,,,,1631.87999999975,30.8216010761394,"Red Deer",0
1,1,1,1,4,1,2804.44000000029,3588.35153472531,"Red Deer",0
1,1,1,1,4,1,2630.95333333232,3464.33803582538,"Red Deer",0
4,4,4,4,3,4,2190.60666666729,315.257599987135,"Red Deer",0
,,,,,,1585.32533333421,659.842484504947,"Red Deer",0
5,4,3,3,3,5,1656.94711111115,909.891568487487,"Red Deer",0
1,1,1,1,4,1,2612.87200000073,1183.76937068668,"Red Deer",0
4,4,4,3,1,4,1555.0933333334,8.52360412042671,"Red Deer",0
1,1,1,1,1,1,2555.7537777774,1871.17809981676,"Red Deer",0
4,3,3,3,1,4,2219.26044444423,1063.87643803482,"Red Deer",0
3,3,3,1,1,3,2211.66711111122,132.859813728288,"Red Deer",0
4,4,4,4,3,4,2151.04044444481,4860.33963315469,"Red Deer",0
,,,,,,2015.19999999912,957.463696355569,"Red Deer",0
1,1,1,1,4,1,2355.32711110984,262.665270166296,"Red Deer",0
,,,,,,2333.84000000099,1540.90370474634,"Red Deer",0
,,,,,,2219.17377777764,176.01049314309,"Red Deer",0
1,3,3,3,6,3,2019.45955555634,2977.71026877094,"Red Deer",0
1,1,1,1,4,1,2483.07422222349,4245.15755775937,"Red Deer",0
1,1,1,1,4,1,2465.97333333594,2465.85057533112,"Red Deer",0
4,5,4,1,4,4,1788.43333333359,295.704612507922,"Red Deer",0
3,3,3,5,6,3,2131.67466666817,1817.17224066418,"Red Deer",0
4,5,5,3,1,5,1778.78000000006,101.299538844492,"Red Deer",0
4,5,4,3,3,4,1816.62000000012,778.742479128957,"Red Deer",0
4,4,4,4,3,4,2165.28666666699,5028.80847126517,"Red Deer",0
1,1,1,1,4,1,2714.45288888819,1501.16062123453,"Red Deer",0
4,5,4,1,4,4,1607.80666666692,1248.05168360551,"Red Deer",0
1,1,1,1,4,1,2916.37377777608,4219.23689649881,"Red Deer",0
4,5,4,3,3,4,1923.54711111097,4.06295541271485,"Red Deer",0
4,3,3,5,6,4,2108.61377777777,6701.89749745577,"Red Deer",0
5,1,3,4,4,4,2193.26044444449,3204.99820866959,"Red Deer",0
3,3,3,1,1,3,2032.20044444449,489.076712204364,"Red Deer",0
3,3,3,5,6,3,2208.48666666797,1809.62516546009,"Red Deer",0
,,,,,,1889.29288888909,110.315966641996,"Red Deer",0
4,5,4,1,4,4,1849.48622222243,47.1032418302626,"Red Deer",0
4,3,3,5,6,4,2413.42711111139,1009.49024384705,"Red Deer",0
3,4,5,5,4,4,2300.45999999993,617.648710352513,"Red Deer",0
1,1,1,1,4,1,2418.75377777993,5683.10479935716,"Red Deer",0
1,1,1,1,4,1,2434.98044444497,1472.88573436294,"Red Deer",0
4,4,4,4,3,4,2128,352.174554964049,"Red Deer",0
4,4,4,4,3,4,2151.52666666698,1635.30154696997,"Red Deer",0
1,1,3,6,5,3,2443.34133333401,840.490361846588,"Red Deer",0
4,4,4,1,3,4,1600.32044444449,11.7923625215693,"Red Deer",0
4,4,4,4,3,4,2059.58622222237,82.6582908418119,"Red Deer",0
1,1,1,1,4,1,2348.14044444584,2627.60400789405,"Red Deer",0
3,3,3,1,1,3,2080.47377777788,2903.69996717022,"Red Deer",0
1,1,1,5,5,3,2566.95333333284,2141.65929221155,"Red Deer",0
,,,,,,2547.69333333363,1263.43420612013,"Red Deer",0
4,3,3,3,1,4,2086.2400000005,460.084578273243,"Red Deer",0
1,1,1,1,1,1,2637.69422222268,4605.1082540363,"Red Deer",0
4,5,4,3,1,4,1642.16711111109,19.8905687136943,"Red Deer",0
,,,,,,2081.62666666641,424.400340757109,"Red Deer",0
4,5,3,1,1,4,1942.26044444423,160.937190240324,"Red Deer",0
4,4,4,4,3,4,2181.20711111078,1187.41344046686,"Red Deer",0
1,1,1,1,1,1,2402.35422222317,1364.34098624745,"Red Deer",0
1,1,1,1,4,1,2741.11377777671,1767.37820633028,"Red Deer",0
,,,,,,1961.84044444492,189.487380073766,"Red Deer",0
4,5,5,4,1,5,1792.93333333346,681.718516707599,"Red Deer",0
4,4,4,4,3,4,1947.4395555562,1794.86093201134,"Red Deer",0
4,3,4,4,1,4,2259.06,2505.25271043387,"Red Deer",0
1,1,1,1,1,1,2891.62844444535,2646.01351822259,"Red Deer",0
4,4,4,4,3,4,2225.44666666616,1561.12201384841,"Red Deer",0
1,1,1,1,4,1,2649.85955555695,3065.30040141243,"Red Deer",0
4,5,4,3,3,4,1972.42666666611,1007.80668285418,"Red Deer",0
3,1,1,3,4,3,2470.65999999981,973.877592023631,"Red Deer",0
1,1,3,6,5,3,2762.97999999943,924.502892046744,"Red Deer",0
5,5,4,1,1,5,1912.37333333333,1294.64884924498,"Red Deer",0
,,,,,,1736.73377777751,281.621278099976,"Red Deer",0
1,1,1,1,1,1,2510.91333333289,3023.52958608177,"Red Deer",0
,,,,,,2172.1266666668,980.315966641996,"Red Deer",0
4,3,3,3,1,4,2248.47333333327,3060.38036439578,"Red Deer",0
3,3,3,5,5,3,2328.52622222212,2191.18903880078,"Red Deer",0
4,5,5,3,3,5,1494,47.1032418302626,"Red Deer",0
1,4,3,3,5,3,2149.11288888817,137.413440466858,"Red Deer",0
1,1,1,1,4,1,2450.60666666822,3668.27593557668,"Red Deer",0
3,3,3,5,6,3,2075.71466666718,2747.64981499442,"Red Deer",0
,,,,,,1667.17422222224,274.149820521775,"Red Deer",0
1,1,1,1,4,1,2859.75288888793,2883.96223237144,"Red Deer",0
,,,,,,1692.81999999975,4.06295541271485,"Red Deer",0
,,,,,,2234.66044444468,1017.19801756663,"Red Deer",0
5,3,6,1,5,6,2091.71244444379,1676.1220633296,"Red Deer",0
3,1,1,3,4,3,2397.51955555532,1301.38543257672,"Red Deer",0
1,1,1,1,4,1,2670.61422222119,4837.82369200982,"Red Deer",0
5,4,4,1,4,5,1863.56666666667,507.830552891423,"Red Deer",0
3,3,3,5,6,3,2002.3657777785,1345.9041808873,"Red Deer",0
1,1,1,1,1,1,2346.30044444376,1925.52578010307,"Red Deer",0
1,1,1,1,4,1,2603.55333333477,741.472399018608,"Red Deer",0
3,4,3,3,1,3,1872.98000000062,163.772833664557,"Red Deer",0
,,,,,,2380.2533333324,376.12533355691,"Red Deer",0
4,5,3,1,1,4,1857.84666666635,84.1720542984952,"Red Deer",0
1,1,1,1,4,1,2476.66666666594,2892.59508427835,"Red Deer",0
5,3,6,1,5,6,1953.31333333308,815.089474415969,"Red Deer",0
,,,,,,2140.27866666772,1938.2206397027,"Red Deer",0
3,4,5,5,4,4,2416.85333333289,6201.15591976033,"Red Deer",0
,,,,,,1637.53333333327,64.7275672957172,"Red Deer",0
1,1,1,1,4,1,2672.14666666592,2414.88552874395,"Red Deer",0
1,1,1,1,4,1,2479.64666666579,2014.46918715232,"Red Deer",0
,,,,,,2158.33288888904,1632.67553499597,"Red Deer",0
3,3,3,5,6,3,2172.40488888965,1723.37835621224,"Red Deer",0
3,5,3,3,4,3,2222.83288888891,166.287490429762,"Red Deer",0
,,,,,,1865.40044444412,644.143087351764,"Red Deer",0
4,3,3,5,6,4,2350.13377777837,2394.38178624678,"Red Deer",0
,,,,,,2734.82577777843,1721.05041736516,"Red Deer",0
3,4,3,3,1,3,1922.69333333295,215.63578245549,"Red Deer",0
3,4,3,1,1,3,1985.12711111073,142.175626960092,"Red Deer",0
1,1,1,1,1,1,2566.99866666753,1093.31569452886,"Red Deer",0
4,3,4,5,5,4,1947.44000000039,803.291360212128,"Red Deer",0
,,,,,,1710.22666666648,162.586559533142,"Red Deer",0
1,1,1,1,1,1,2488.05466666753,4896.81498931668,"Red Deer",0
,,,,,,1860.68000000038,49.4832660077138,"Red Deer",0
4,5,4,3,3,4,1834,316.518954703627,"Red Deer",0
1,4,1,3,4,3,1928.3871111117,458.570317242667,"Red Deer",0
3,3,3,4,4,3,2169.89333333351,4170.47315567855,"Red Deer",0
1,1,1,5,5,3,2549.05288888885,2668.02270532235,"Red Deer",0
,,,,,,1813.63955555583,761.184666202853,"Red Deer",0
4,3,4,4,1,4,2285.19377777795,2167.36972713421,"Red Deer",0
4,4,4,1,3,4,1493.68666666667,170.600756057937,"Red Deer",0
,,,,,,2356.06711111166,1570.13466952966,"Red Deer",0
,,,,,,2603.98577777888,497.843527603836,"Red Deer",0
,,,,,,1789.21244444418,102.98244806327,"Red Deer",0
1,1,1,1,4,1,2214.52088888872,1533.6280225059,"Red Deer",0
1,1,1,1,4,1,2243.81688888901,1738.19784458804,"Red Deer",0
3,3,3,5,6,3,2185.40666666622,2022.96093271637,"Red Deer",0
1,1,1,1,4,1,2128.30711111088,1108.65891594897,"Red Deer",0
1,3,3,1,3,3,2345.63955555464,826.668142831691,"Red Deer",0
,,,,,,1584.0195555557,4.06295541271485,"Red Deer",0
